model,mse,rmse,mae,mape,split,lb_pvalue
Naïve RW (split 0.5),1409433.2744399388,1187.1955502106377,1008.5482903803148,18.480427795101683,0.5,
"ARIMA(1,1,0) train (split 0.5)",2418.8711237610587,49.182020330208665,36.61772148762615,0.8846706989763817,0.5,0.9999999999997016
"ARIMA(1,1,0) test (split 0.5)",1409433.2744399388,1187.1955502106377,1008.5482903803148,18.480427795101683,0.5,0.9999999999997016
Naïve RW (split 0.6),951904.0411050685,975.6556980334141,847.1194544391676,15.183664142092706,0.6,
"ARIMA(1,1,0) train (split 0.6)",2169.2546951974005,46.57525840183177,34.41497729865115,0.8275135255080673,0.6,0.9999999999992772
"ARIMA(1,1,0) test (split 0.6)",951979.4763615947,975.6943560160604,847.1554397338625,15.184307116620044,0.6,0.9999999999992772
Naïve RW (split 0.7),481623.00140489807,693.9906349547507,605.2464474893576,10.54309840613125,0.7,
"ARIMA(1,1,0) train (split 0.7)",2019.4411300049867,44.938192331300854,33.13699685931552,0.7901499131571961,0.7,0.9999999999980046
"ARIMA(1,1,0) test (split 0.7)",480931.5535216268,693.4922880044354,604.6854156330527,10.532999521517535,0.7,0.9999999999980046
Naïve RW (split 0.8),118481.74072391016,344.21176726531326,289.53019657841435,4.943732457639309,0.8,
"ARIMA(1,1,0) train (split 0.8)",1907.3845742815229,43.67361416555221,32.18304530133534,0.753165766676921,0.8,0.9999999999948266
"ARIMA(1,1,0) test (split 0.8)",118273.36525138635,343.9089490713877,289.2344272109992,4.938761792253748,0.8,0.9999999999948266
